stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Roba\C_C++\botArena\x64\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching D:\Roba\C_C++\botArena\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00039] Also searching D:\Roba\C_C++\botArena\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00059] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00065] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00751] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.03820] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03987] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.03993] al_display=0000023DC42D79A0
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.03999] al_display->vt=0000023DC5E04B20
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04837] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.04851] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.04860] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04866] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.04871] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04883] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04892] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04899] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04906] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.04922] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.04928] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04934] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04941] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04949] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04955] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04961] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04967] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.04980] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04987] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.04993] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.04998] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05004] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05011] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05018] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05025] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05030] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05042] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.05050] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05058] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05065] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05073] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05315] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05339] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05361] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05369] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05377] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05384] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05391] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05398] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05405] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05412] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05420] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05428] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05434] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05440] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.05446] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05454] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05461] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05467] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05479] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05485] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05491] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05496] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05505] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05545] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:479  _al_score_display_settings       [   0.05556] Multisample Buffers requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05564] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05576] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05584] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:490  _al_score_display_settings       [   0.05591] Multisample Samples requirement not met
display  D   display_settings.c:212  debug_display_settings           [   0.05599] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05607] Score is : 641
